GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Docs Web/docs-core,com.sismics.util.jpa,EMF.new DbOpenHelper() {...},9,12,1,1,3,3,2,2,1,2
Docs Web/docs-core,com.sismics.util.jpa,DialectUtil,92,0,18,0,19,0,13,0,4,0
Docs Web/docs-core,com.sismics.util.jpa,DbOpenHelper,187,131,23,5,48,37,19,3,5,3
Docs Web/docs-core,com.sismics.util.jpa,EMF,153,50,5,1,40,17,6,3,3,3
Docs Web/docs-core,com.sismics.docs.core.model.context,AppContext,169,196,21,7,43,49,19,8,6,7
Docs Web/docs-core,com.sismics.util,ImageUtil,91,99,10,12,28,20,9,7,2,3
Docs Web/docs-core,com.sismics.util,ClasspathScanner,9,75,3,9,2,16,3,7,0,4
Docs Web/docs-core,com.sismics.util,LocaleUtil,43,0,6,0,12,0,5,0,2,0
Docs Web/docs-core,com.sismics.util,ImageDeskew.HoughLine,0,12,0,0,0,3,0,1,0,1
Docs Web/docs-core,com.sismics.util,ResourceUtil,34,113,6,18,4,28,6,9,1,2
Docs Web/docs-core,com.sismics.util,EmailUtil.MailContent,28,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.util,EmailUtil.FileContent,12,0,0,0,4,0,4,0,4,0
Docs Web/docs-core,com.sismics.util,HttpUtil,20,0,0,0,3,0,3,0,3,0
Docs Web/docs-core,com.sismics.util,EmailUtil,409,0,40,0,97,0,26,0,6,0
Docs Web/docs-core,com.sismics.util,MessageUtil,24,0,0,0,8,0,3,0,3,0
Docs Web/docs-core,com.sismics.util,Scalr,42,45,5,5,4,13,6,1,1,1
Docs Web/docs-core,com.sismics.util,JsonUtil,44,0,6,0,10,0,7,0,4,0
Docs Web/docs-core,com.sismics.util,EnvironmentUtil,41,24,7,1,10,7,13,3,9,3
Docs Web/docs-core,com.sismics.util,ImageDeskew,7,379,1,27,3,62,1,20,0,7
Docs Web/docs-core,com.sismics.util,ResourceBundleModel,71,0,4,0,15,0,4,0,2,0
Docs Web/docs-core,com.sismics.util,HtmlToPlainText.FormattingVisitor,264,0,30,0,41,0,20,0,5,0
Docs Web/docs-core,com.sismics.util,HtmlToPlainText,13,0,0,0,4,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.event,AclEvent,43,0,0,0,15,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.event,AclDeletedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentUpdatedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.event,AclCreatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,FileCreatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,RebuildIndexAsyncEvent,7,0,0,0,3,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.event,RouteStepValidateEvent,30,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileDeletedAsyncEvent,29,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileEvent,37,0,0,0,14,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentCreatedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.event,UserEvent,10,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.event,PasswordLostEvent,28,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileUpdatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentDeletedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,org.apache.pdfbox.pdmodel.font,DocsPDType1Font,341,206,65,9,73,50,48,9,13,7
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteModelDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,AclDto,45,0,0,0,19,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,ContributorDto,17,0,0,0,7,0,5,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,DocumentMetadataDto,51,0,0,0,19,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,GroupDto,54,0,0,0,18,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,DocumentDto,63,90,0,0,26,38,17,26,17,26
Docs Web/docs-core,com.sismics.docs.core.dao.dto,UserDto,76,0,0,0,30,0,18,0,18,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteStepDto,146,0,0,0,48,0,26,0,26,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RelationDto,24,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,MetadataDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,TagDto,43,0,0,0,16,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,WebhookDto,46,0,0,0,15,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,CommentDto,38,0,0,0,16,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,AuditLogDto,52,0,0,0,22,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,FileProcessingAsyncListener,245,7,16,0,61,2,14,2,6,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,FileDeletedAsyncListener,66,7,8,0,18,2,7,2,3,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,RebuildIndexAsyncListener,62,7,8,0,22,2,7,2,3,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,RouteStepValidateAsyncListener,44,7,2,0,11,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,AclDeletedAsyncListener,22,7,2,0,5,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,WebhookAsyncListener,118,14,4,0,33,4,10,2,8,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentDeletedAsyncListener,18,7,2,0,6,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentUpdatedAsyncListener,101,7,10,0,26,2,7,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,PasswordLostAsyncListener,39,7,2,0,11,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentCreatedAsyncListener,47,7,4,0,14,2,4,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,AclCreatedAsyncListener,22,7,2,0,5,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.service,FileService.TemporaryPathReference,0,10,0,0,0,3,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.service,InboxService,530,35,39,1,126,15,28,7,8,7
Docs Web/docs-core,com.sismics.docs.core.service,FileService,9,72,0,2,4,19,1,9,1,8
Docs Web/docs-core,com.sismics.docs.core.service,FileSizeService,6,93,2,6,3,29,2,10,0,8
Docs Web/docs-core,com.sismics.docs.core.util.pdf,PdfPage,12,294,3,15,1,51,3,14,0,8
Docs Web/docs-core,com.sismics.util.log4j,MemoryAppender,117,60,23,3,32,14,16,5,3,5
Docs Web/docs-core,com.sismics.util.log4j,LogEntry,12,15,0,0,4,6,4,1,4,1
Docs Web/docs-core,com.sismics.util.log4j,LogCriteria,29,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.util.context,ThreadLocalContext,16,58,2,6,6,20,3,9,1,7
Docs Web/docs-core,com.sismics.docs.core.util,DirectoryUtil,69,39,11,5,20,11,13,3,5,3
Docs Web/docs-core,com.sismics.docs.core.util,ConfigUtil,18,31,0,2,6,10,3,5,3,4
Docs Web/docs-core,com.sismics.docs.core.util,RoutingUtil,200,0,19,0,46,0,14,0,4,0
Docs Web/docs-core,com.sismics.docs.core.util,PdfUtil,14,234,10,12,4,54,11,4,1,3
Docs Web/docs-core,com.sismics.docs.core.util,FileUtil,313,160,24,2,78,25,18,4,6,3
Docs Web/docs-core,com.sismics.docs.core.util,TransactionUtil,56,46,12,4,22,19,10,2,2,2
Docs Web/docs-core,com.sismics.docs.core.util,DocumentUtil,62,0,0,0,17,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util,SecurityUtil,48,0,11,0,12,0,9,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util,MetadataUtil,373,0,41,0,90,0,30,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util,AuditLogUtil,5,43,1,1,2,12,2,1,1,1
Docs Web/docs-core,com.sismics.docs.core.util,ActionUtil,50,0,4,0,18,0,8,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util,EncryptionUtil,9,97,0,4,3,21,1,8,1,6
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Group,66,0,0,0,23,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Comment,64,0,0,0,25,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,AuditLog,38,34,0,0,12,16,7,9,7,9
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Relation,47,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,User,63,63,0,0,22,24,14,15,14,15
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Contributor,40,0,0,0,15,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,UserGroup,47,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Role,43,0,0,0,17,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,DocumentTag,47,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Share,39,0,0,0,16,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,RoleBaseFunction,54,0,0,0,21,0,12,0,12,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Acl,74,0,0,0,27,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,AuthenticationToken,82,0,0,0,29,0,16,0,16,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,DocumentMetadata,49,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Route,66,0,0,0,23,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,BaseFunction,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Vocabulary,51,0,0,0,19,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,File,40,108,3,1,12,40,8,27,6,27
Docs Web/docs-core,com.sismics.docs.core.model.jpa,RouteStep,151,0,0,0,52,0,28,0,28,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Document,134,0,0,0,56,0,37,0,37,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,PasswordRecovery,39,0,0,0,16,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Config,19,6,0,0,8,2,4,2,4,2
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Metadata,53,0,0,0,19,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Tag,71,0,0,0,28,0,17,0,17,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,RouteModel,58,0,0,0,21,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Webhook,62,0,0,0,22,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.util.action,RemoveTagAction,54,0,4,0,13,0,4,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util.action,ProcessFilesAction,80,0,2,0,22,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.util.action,TagAction,38,0,4,0,9,0,4,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util.action,AddTagAction,71,0,6,0,14,0,5,0,2,0
Docs Web/docs-core,com.sismics.util.css,Selector,0,63,0,2,0,15,0,4,0,3
Docs Web/docs-core,com.sismics.util.css,Rule,0,19,0,0,0,6,0,3,0,3
Docs Web/docs-core,com.sismics.util.mime,MimeType,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.util.mime,MimeTypeUtil,43,9,16,2,16,4,16,1,2,1
Docs Web/docs-core,com.sismics.util.io,InputStreamReaderThread,14,52,1,3,3,12,1,4,0,3
Docs Web/docs-core,com.sismics.docs.core.constant,MetadataType,0,54,0,0,0,6,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,ActionType,34,0,0,0,4,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.constant,Constants,3,119,0,0,1,2,1,1,1,1
Docs Web/docs-core,com.sismics.docs.core.constant,AclType,0,24,0,0,0,3,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,ConfigType,0,304,0,0,0,31,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,RouteStepTransition,0,34,0,0,0,4,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,AclTargetType,34,0,0,0,4,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.constant,AuditLogType,0,34,0,0,0,4,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,PermType,0,24,0,0,0,3,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,RouteStepType,0,24,0,0,0,3,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,WebhookEvent,0,64,0,0,0,7,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.dao,AclDao,332,0,20,0,83,0,16,0,6,0
Docs Web/docs-core,com.sismics.docs.core.dao,ConfigDao,30,16,2,2,11,5,2,3,1,2
Docs Web/docs-core,com.sismics.docs.core.dao,RouteDao,178,0,4,0,41,0,6,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,UserDao,584,91,23,3,136,22,23,6,11,5
Docs Web/docs-core,com.sismics.docs.core.dao,PasswordRecoveryDao,85,0,0,0,20,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,GroupDao,448,0,28,0,106,0,24,0,10,0
Docs Web/docs-core,com.sismics.docs.core.dao,RoleBaseFunctionDao,33,0,0,0,8,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.dao,ContributorDao,100,0,2,0,25,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,CommentDao,164,0,2,0,40,0,6,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao,WebhookDao,178,0,4,0,42,0,7,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao,DocumentDao,509,0,4,0,114,0,12,0,10,0
Docs Web/docs-core,com.sismics.docs.core.dao,FileDao,204,130,3,1,54,32,12,6,10,6
Docs Web/docs-core,com.sismics.docs.core.dao,RelationDao,183,0,14,0,45,0,10,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao,AuthenticationTokenDao,171,0,2,0,43,0,9,0,8,0
Docs Web/docs-core,com.sismics.docs.core.dao,AuditLogDao,167,21,8,0,33,6,5,2,1,2
Docs Web/docs-core,com.sismics.docs.core.dao,DocumentMetadataDao,136,0,2,0,30,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,ShareDao,62,0,0,0,17,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao,TagDao,390,0,22,0,95,0,18,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao,RouteStepDao,346,0,18,0,72,0,14,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao,VocabularyDao,94,0,0,0,27,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.dao,RouteModelDao,237,0,6,0,55,0,10,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao,MetadataDao,192,0,2,0,46,0,7,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.format,TextPlainFormatHandler,72,0,4,0,16,0,7,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util.format,VideoFormatHandler,150,0,4,0,26,0,7,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util.format,PdfFormatHandler,29,112,3,7,8,24,4,7,1,5
Docs Web/docs-core,com.sismics.docs.core.util.format,ImageFormatHandler,64,144,11,8,13,21,10,5,2,3
Docs Web/docs-core,com.sismics.docs.core.util.format,PptxFormatHandler,15,135,3,3,4,26,3,7,1,6
Docs Web/docs-core,com.sismics.docs.core.util.format,OdtFormatHandler,8,61,1,1,1,13,2,5,1,5
Docs Web/docs-core,com.sismics.docs.core.util.format,DocxFormatHandler,8,63,1,1,1,13,2,5,1,5
Docs Web/docs-core,com.sismics.docs.core.util.format,FormatHandlerUtil,9,35,1,3,5,7,2,3,1,2
Docs Web/docs-core,com.sismics.docs.core.util.authentication,AuthenticationUtil,55,0,4,0,15,0,6,0,4,0
Docs Web/docs-core,com.sismics.docs.core.util.authentication,InternalAuthenticationHandler,12,0,0,0,3,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util.authentication,LdapAuthenticationHandler,185,0,18,0,47,0,13,0,4,0
Docs Web/docs-core,com.sismics.util.totp,KeyRepresentation,0,24,0,0,0,3,0,1,0,1
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorException,9,0,0,0,4,0,2,0,2,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorKey,0,24,0,0,0,8,0,4,0,4
Docs Web/docs-core,com.sismics.util.totp,ReseedingSecureRandom,122,46,11,5,25,16,10,3,2,3
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorConfig.GoogleAuthenticatorConfigBuilder,89,0,12,0,24,0,12,0,6,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticator,55,353,10,22,12,69,10,23,0,16
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorConfig,3,37,0,0,1,10,1,5,1,5
Docs Web/docs-core,com.sismics.docs.core.util.indexing,LuceneIndexingHandler,1370,67,117,3,289,18,86,5,26,5
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,RouteStepCriteria,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,TagCriteria,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,AuditLogCriteria,28,0,0,0,11,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,UserCriteria,35,0,0,0,13,0,9,0,9,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,MetadataCriteria,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,WebhookCriteria,11,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,RouteCriteria,11,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,GroupCriteria,30,0,0,0,11,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,RouteModelCriteria,11,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,DocumentCriteria,111,0,0,0,43,0,28,0,28,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,PaginatedLists,93,0,6,0,24,0,9,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,QueryParam,15,0,0,0,6,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,SortCriteria,24,0,4,0,9,0,5,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,PaginatedList,29,0,0,0,12,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,QueryUtil,68,0,6,0,13,0,6,0,3,0
Docs Web/docs-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,134,0,24,0,30,0,17,0,5,0
Docs Web/docs-web-common,com.sismics.util.filter,JwtBasedSecurityFilter,284,0,14,0,76,0,17,0,10,0
Docs Web/docs-web-common,com.sismics.util.filter,SecurityFilter,146,0,12,0,39,0,15,0,9,0
Docs Web/docs-web-common,com.sismics.util.filter,RequestContextFilter,206,0,22,0,70,0,17,0,6,0
Docs Web/docs-web-common,com.sismics.util.filter,HeaderBasedSecurityFilter,38,0,8,0,10,0,7,0,3,0
Docs Web/docs-web-common,com.sismics.util.filter,CorsFilter,54,0,6,0,15,0,7,0,4,0
Docs Web/docs-web-common,com.sismics.util.listener,IIOProviderContextListener.LocalFilter,16,0,2,0,4,0,3,0,2,0
Docs Web/docs-web-common,com.sismics.util.listener,IIOProviderContextListener,81,0,6,0,20,0,7,0,4,0
Docs Web/docs-web-common,com.sismics.security,AnonymousPrincipal,22,0,0,0,11,0,9,0,9,0
Docs Web/docs-web-common,com.sismics.security,UserPrincipal,58,0,0,0,24,0,15,0,15,0
Docs Web/docs-web-common,com.sismics.rest.util,ValidationUtil,326,0,34,0,54,0,33,0,16,0
Docs Web/docs-web-common,com.sismics.rest.util,RestUtil,66,0,2,0,13,0,3,0,2,0
Docs Web/docs-web-common,com.sismics.rest.util,AclUtil,60,0,2,0,14,0,3,0,2,0
Docs Web/docs-web-common,com.sismics.rest.exception,ClientException,30,0,0,0,8,0,3,0,3,0
Docs Web/docs-web-common,com.sismics.rest.exception,ServerException,30,0,0,0,8,0,3,0,3,0
Docs Web/docs-web-common,com.sismics.rest.exception,ForbiddenClientException,15,0,0,0,4,0,1,0,1,0
